Drilled depth (m),Drilling date,Well_ID,NZTM X,NZTM Y,Maximum diameter (mm),"# These data were compiled by Rupert Sutherland from Bay of Plenty and Waikato Regional Councils, Feb 2025"
150.00,2/03/2021,BN21-0043,1885083,5772029,200.00,
150.00,20/04/2016,BN21-0050,1884853,5774101,100.00,
150.00,17/08/2021,BN21-0124,1884866,5774826,100.00,
150.00,23/05/2016,RR12179,1884883,5773103,150.00,
150.00,20/05/2016,RR12182,1884791,5772572,100.00,
149.30,18/01/1960,RR279,1884157,5772487,75.00,
149.00,,RR1001,1883806,5771794,125.00,
149.00,1/05/1981,RR843,1885132,5771757,100.00,
149.00,1/04/1981,RR844,1884706,5772819,100.00,
148.83,,RR860,1884579,5773323,100.00,
148.70,20/10/1952,RR219,1884546,5774044,100.00,
147.50,,RR901,1884950,5771231,100.00,
147.30,6/03/1980,RR823,1885061,5772403,100.00,
147.30,3/03/1980,RR827,1885399,5773713,100.00,
147.00,,RR1033,1885258,5772665,100.00,
146.90,5/09/1964,RR520,1885373,5773466,100.00,
146.50,24/10/1985,RR913,1884357,5774372,100.00,
146.40,1/12/1975,RR733,1884652,5773753,100.00,
146,,72_10217,1866277,5734896,150,
146.00,21/03/1959,RR405,1885002,5773637,100.00,
145.48,,RR735,1884493,5772021,100.00,
145.00,12/08/2016,RR12183,1884389,5774355,100.00,
145.00,1/05/1978,RR784,1884434,5773711,150.00,
145.00,1/01/1978,RR799,1884820,5772561,150.00,
144,31/10/2005,72_2830,1850903,5915691,100,
144.00,,RR1008,1884526,5774546,,
144.00,22/02/1996,RR1034,1884240,5772270,100.00,
144.00,,RR832,1885444,5773792,125.00,
144.00,,RR832,1885444,5773792,125.00,
144.00,,RR947,1884544,5774526,100.00,
143.90,1/01/1979,RR800,1884277,5772274,,
143.34,4/11/1981,RR854,1884550,5773472,100.00,
143.00,24/08/2001,RR10159,1885059,5773672,100.00,
143.00,28/08/2001,RR1050,1885001,5773352,100.00,
143.00,1/04/1980,RR822,1884490,5773015,100.00,
141.70,,RR521,1885393,5774524,100.00,
141.50,29/05/2019,BN19-0090,1885534,5774433,100.00,
141.20,1/04/1977,RR758,1885009,5773382,100.00,
141.20,,RR866,1885131,5773367,100.00,
141,30/07/2010,72_5126,1891699,5746459,,
140.80,,RR693,1884468,5772327,100.00,
140.80,15/11/1976,RR753,1885377,5774649,75.00,
140.60,22/09/1981,RR852,1884692,5772873,150.00,
140.50,,BN20-0070,1883814,5771846,100.00,
140.50,1/06/2001,RR10163,1883804,5771868,100.00,
140.20,6/07/1961,RR366,1885261,5773559,75.00,
140.20,,RR845,1884990,5772385,100.00,
140,6/08/2003,72_2223,1821452,5871780,100,
140,20/11/2017,72_8844,1868904,5711804,165,
140.00,28/04/2019,BN19-0089,1885534,5774392,100.00,
140.00,5/09/2021,BN21-0139,1885489,5774399,100.00,
140.00,24/09/2021,BN21-0140,1885518,5774420,100.00,
140.00,30/09/2021,BN21-0141,1885518,5774435,100.00,
140.00,29/02/2008,RR10648,1884646,5773187,100.00,
140.00,31/10/1979,RR815,1884364,5772332,100.00,
139.18,14/11/2024,BN24-0097,1885540,5773928,100.00,
138.76,1/09/1976,RR748,1884748,5772362,80.00,
138.70,14/06/1962,RR425,1884619,5773081,100.00,
138.70,20/08/1975,RR699,1884996,5773172,100.00,
138.10,,RR564,1884255,5772028,100.00,
138.00,2/07/2003,RR10180,1885092,5773119,100.00,
137.50,25/12/1980,RR842,1885265,5773547,100.00,
137,1/11/1996,68_862,1873289,5711347,100,
137.00,,BN20-0106,1884482,5772969,,
137.00,,RR1024,1885057,5773281,100.00,
136.63,9/09/1982,RR875,1884528,5774002,98.00,
136.50,,RR1031,1883907,5771799,100.00,
136.00,26/07/2005,BN20-0076,1884574,5773267,87.00,
